Source,Target,Weight
185460493,1657121714,271
185460493,314063828,151
185460496,5310266492,150
185460496,2231731537,282
185460496,185460761,79
185460498,185460542,182
185460498,185460765,53
185460498,5310266492,19
185460502,185460508,39
185460502,185460765,68
185460502,1986129366,370
185460508,185460735,128
185460542,304383380,106
185460542,185460775,384
185460559,185460570,119
185460559,185460728,82
185460570,243791651,45
185460570,185460580,42
185460580,1191040929,104
185460580,243791651,40
185460598,425808778,34
185460598,185460602,27
185460598,1191040929,36
185460602,1986129366,49
185460602,1986129367,148
185460602,269291570,42
185460696,243791652,185
185460708,185460721,21
185460708,321873624,86
185460708,321873626,122
185460721,241780151,89
185460721,271936204,435
185460735,185460761,90
185460747,8974150252,25
185460747,8974150251,23
185460747,314063829,48
185460761,185460765,159
185460775,304383382,104
185460782,1656564684,20
185460782,8974150252,132
185460797,3230598511,34
185460797,2910717911,337
185460832,185460835,17
185460832,227529758,392
185460835,185460839,45
185460835,241777607,353
185460839,5003351787,113
185460843,1886299894,77
185460843,227529751,109
185460843,185460849,241
185460843,241937255,198
185460849,278356154,37
185460849,227529734,142
185460849,185460860,198
185460849,185460868,194
185460860,6040397708,66
185460860,185460868,46
